sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,name,description,short_description,price,special_price,special_from_date,special_to_date,cost,weight,manufacturer,meta_title,meta_keyword,meta_description,image,small_image,thumbnail,media_gallery,color,news_from_date,news_to_date,gallery,status,url_key,url_path,minimal_price,visibility,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,options_container,required_options,has_options,image_label,small_image_label,thumbnail_label,created_at,updated_at,country_of_manufacture,msrp_enabled,msrp_display_actual_price_type,msrp,tax_class_id,gift_message_available,watch_brand,bransom_code,jewellery_type,designer,gender,metal,gemstone,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
4801097,,Jewellery,simple,,Default Category,base,ASXAS OVAL MESH BRAC FINE,,,25.00,,,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/12,,,,,,,,,NTB494S,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801098,,Jewellery,simple,,Default Category,base,ASXAS OVAL MESH BRAC FINE,,,25.00,,,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/12,,,,,,,,,NTB494Y,*ADJUST ME*,,Female,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801099,,Jewellery,simple,,Default Category,base,ASXAS OVAL MESH BRAC FINE,,,25.00,,,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/12,,,,,,,,,NTB494B,*ADJUST ME*,,Female,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801167,,Jewellery,simple,,Default Category,base,ASXAS SILV MESH EXPANDABLE,,,27.00,,,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/14,,,,,,,,,NTB603-S,*ADJUST ME*,,Female,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801168,,Jewellery,simple,,Default Category,base,ASXAS ROSE MESH EXPANDABLE,,,27.00,,,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/14,,,,,,,,,NTB603-R,*ADJUST ME*,,Female,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801169,,Jewellery,simple,,Default Category,base,ASXAS GOLD MESH EXPANDABLE,,,27.00,,,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 9/13,,,,,,,,,NTB603-Y,*ADJUST ME*,,Female,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801173,,Jewellery,simple,,Default Category,base,ASXAS DIA CUT BALL BLT SLV,,,39.00,,,,14.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/14,,,,,,,,,NTB688S,*ADJUST ME*,,Female,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801174,,Jewellery,simple,,Default Category,base,ASXAS DIA CUT BALL BLT ROSE,,,39.00,,,,14.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/14,,,,,,,,,NTB688R,*ADJUST ME*,,Female,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801175,,Jewellery,simple,,Default Category,base,ASXAS DIA CUT BALL BLT GOLD,,,39.00,,,,14.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/14,,,,,,,,,NTB688Y,*ADJUST ME*,,Female,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801006,,Jewellery,simple,,Default Category,base,ASXAS EXPAND CZ BEAD SILVER,,,40.00,,,,16.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/14,,,,,,,,,NTB455-S,*ADJUST ME*,,Female,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
