sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,name,description,short_description,price,special_price,special_from_date,special_to_date,cost,weight,manufacturer,meta_title,meta_keyword,meta_description,image,small_image,thumbnail,media_gallery,color,news_from_date,news_to_date,gallery,status,url_key,url_path,minimal_price,visibility,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,options_container,required_options,has_options,image_label,small_image_label,thumbnail_label,created_at,updated_at,country_of_manufacture,msrp_enabled,msrp_display_actual_price_type,msrp,tax_class_id,gift_message_available,watch_brand,bransom_code,jewellery_type,designer,gender,metal,gemstone,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
4601018,,Jewellery,simple,,Default Category,base,FEWFEF HELIOS DOUBLE DISC SILVER,,,95.00,,,,38.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/14,,,,,,,,,HEBA2 S,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4601012,,Jewellery,simple,,Default Category,base,FEWFEF S BANGLE YG RABBIT,,,120.00,,,,48.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 3/13,,,,,,,,,BLRBASY,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4602053,,Jewellery,simple,,Default Category,base,FEWFEF AMMONITE STUDS SILVER,,,30.00,,,,12.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/14,,,,,,,,,BCAE4,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4602021,,Jewellery,simple,,Default Category,base,FEWFEF SILVER WREN,,,40.00,,,,17.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 7/12,,,,,,,,,BLWE9,*ADJUST ME*,,Female,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4602008,,Jewellery,simple,,Default Category,base,FEWFEF BUTTON,,,42.50,,,,18.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 7/12,,,,,,,,,CBE1S,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4602062,,Jewellery,simple,,Default Category,base,FEWFEF YELLOW MINI BEAR SHELL,,,50.00,,,,20.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/14,,,,,,,,,BCBSE1 Y,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4602057,,Jewellery,simple,,Default Category,base,FEWFEF LITTLE OWL STUDS YGV,,,55.00,,,,22.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 8/14,,,,,,,,,LOE GVY,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4602058,,Jewellery,simple,,Default Category,base,FEWFEF LITTLE OWL STUDS RGV,,,55.00,,,,22.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 8/14,,,,,,,,,LOE GVR,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4602070,,Jewellery,simple,,Default Category,base,FEWFEF ROSE CLAMSHELL STUDS,,,60.00,,,,26.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/14,,,,,,,,,CLE1 GVR,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4602037,,Jewellery,simple,,Default Category,base,FEWFEF RG STUDS,,,63.00,,,,25.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 3/13,,,,,,,,,HEE1R,*ADJUST ME*,,Female,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4602049,,Jewellery,simple,,Default Category,base,FEWFEF LGE GVY BLOSSOM STUDS,,,65.00,,,,26.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/0,,,,,,,,,BLE4,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4602035,,Jewellery,simple,,Default Category,base,FEWFEF YG DROP STUDS,,,110.00,,,,42.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 3/13,,,,,,,,,HEE3Y,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4603040,,Jewellery,simple,,Default Category,base,FEWFEF WREN AND RIBBON,,,50.00,,,,20.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 7/12,,,,,,,,,BLWPR1S,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4603024,,Jewellery,simple,,Default Category,base,FEWFEF BUTTON,,,60.00,,,,26.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 7/12,,,,,,,,,CBP1S,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4603001,,Jewellery,simple,,Default Category,base,FEWFEF SILVER TINY PENDANT,,,70.00,,,,47.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 5/11,,,,,,,,,WRP4,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4603011,,Jewellery,simple,,Default Category,base,FEWFEF CLAMSHELL PENDANT,,,70.00,,,,29.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 8/14,,,,,,,,,BCCLP3,*ADJUST ME*,,Female,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4603013,,Jewellery,simple,,Default Category,base,FEWFEF PEBBLE PENDANT,,,70.00,,,,29.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 8/11,,,,,,,,,BCPP15,*ADJUST ME*,,Female,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4603025,,Jewellery,simple,,Default Category,base,FEWFEF TINY PENDANT,,,70.00,,,,28.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/0,,,,,,,,,WRP4S,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4603027,,Jewellery,simple,,Default Category,base,FEWFEF RG TINY PENDANT,,,90.00,,,,38.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12,,,,,,,,,WRP4R,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4603051,,Jewellery,simple,,Default Category,base,FEWFEF WREN ROSE PENDANT,,,90.00,,,,49.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/13,,,,,,,,,BLWP1R,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4603034,,Jewellery,simple,,Default Category,base,FEWFEF OWL,,,95.00,,,,39.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 3/13,,,,,,,,,LOP1S,*ADJUST ME*,,Female,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4603097,,Jewellery,simple,,Default Category,base,FEWFEF ROSE GV KITTEN PENDANT,,,95.00,,,,38.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/14,,,,,,,,,CVKPR,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4603050,,Jewellery,simple,,Default Category,base,FEWFEF SILVER FOX PENDANT,,,100.00,,,,39.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 6/14,,,,,,,,,FOXYPS,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4603058,,Jewellery,simple,,Default Category,base,FEWFEF SILVER PLAIN DISC,,,100.00,,,,40.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 3/13,,,,,,,,,HEP1S,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4603096,,Jewellery,simple,,Default Category,base,FEWFEF ROSE GV PENNY FARTHING,,,100.00,,,,40.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/14,,,,,,,,,PFP1R,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4603022,,Jewellery,simple,,Default Category,base,FEWFEF SILVER KEY LARGE,,,102.00,,,,38.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/13,,,,,,,,,CKP1S,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4603098,,Jewellery,simple,,Default Category,base,FEWFEF DOUBLE SHELL PENDANT GVY,,,105.00,,,,40.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/14,,,,,,,,,BCMSP2 GVY,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4603078,,Jewellery,simple,,Default Category,base,FEWFEF YGV SEAHORSE PENDANT,,,110.00,,,,40.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 6/14,,,,,,,,,BCSHP1Y,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4603081,,Jewellery,simple,,Default Category,base,FEWFEF PENNY FARTHING DBL PNDANT,,,110.00,,,,45.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 6/14,,,,,,,,,PFP2 MIXED,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4603082,,Jewellery,simple,,Default Category,base,FEWFEF SILVER LION PENDANT,,,110.00,,,,44.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/14,,,,,,,,,CVLP SIL,*ADJUST ME*,,Female,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4603095,,Jewellery,simple,,Default Category,base,FEWFEF ROSE GV SEAHORSE PENDANT,,,110.00,,,,39.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/14,,,,,,,,,BCHP1R,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
